1	ZJSIN	20	3066
2	JJQTU	30	6905
3	THZRM	20	7805
4	JZRDT	30	3021
5	UGJWY	10	8921
6	ZXPSO	10	5378
7	ZEDYX	10	9934
8	KOUIG	20	3650
9	RFGXK	30	6021
10	YNQKS	20	4016
11	MQUIK	30	3343
12	MQJUA	10	6156
13	ABLGB	30	9396
14	NCRID	10	3291
15	BBFXX	20	5304
16	XANWX	30	5999
17	OZUFI	30	9360
18	ADJXZ	30	5326
19	GCXSI	20	1149
20	ANGTN	20	7669
21	FZSGQ	10	9087
22	NCYHC	30	3421
23	JIDIY	10	4452
24	EINRF	10	9580
25	NQOCT	20	4009
26	ZSAFX	20	9844
27	TBPCD	30	1057
28	NEOFI	20	6188
29	DQAJJ	10	5760
30	MIESJ	30	2667
31	RMLVX	10	7326
32	SBJAU	20	9566
33	YVSZI	10	7960
34	MJLGA	20	8526
35	FOZNN	30	5506
36	WKDUJ	10	6096
37	PZKHG	30	6139
38	QCNOG	30	2298
39	UQTFL	10	8508
40	BRVWB	30	1756
41	XWADT	10	3688
42	JFKEY	10	9514
43	TVHGY	10	3924
44	YZWSR	20	7751
45	UMCXL	30	6193
46	ZKBQV	20	9280
47	CLFRK	30	2143
48	AYLCW	10	2919
49	HLJJW	30	2839
50	LWDWV	20	6039
51	GNEPL	10	5964
52	TPFWQ	30	4845
53	LQSCZ	10	5058
54	LQFPT	10	4037
55	NDLDM	20	1727
56	JBRKK	10	2505
57	AIVNT	10	2401
58	KQNVG	20	8854
59	KAAHK	30	3977
60	KMSYN	10	3957
61	JEUCL	20	9004
62	NTSWO	20	5236
63	GUYTW	10	4315
64	ZZRMH	20	1832
65	UGBMW	30	2969
66	HNAEB	30	6011
67	SNEHC	20	2669
68	MJRII	10	6908
69	VMUIG	20	4842
70	BYTHE	10	6785
71	HBSMI	30	9719
72	ROQQU	20	4675
73	WQOJE	20	9081
74	XFHXP	30	4443
75	UTBGT	30	9403
76	BGQNO	30	9932
77	UUQGV	20	5230
78	YQWBI	30	2531
79	HMXNX	20	2996
80	YGFOL	30	5715
81	FBHQZ	30	8318
82	OYOEJ	30	1430
83	OWBOK	20	2327
84	OFHTF	10	2709
85	EUIMT	20	4440
86	KLNYQ	10	2474
87	MGBSF	20	2813
88	XEXBO	10	1450
89	MNZXZ	20	4038
90	IIPIG	30	8533
91	TUJNO	10	7466
92	ZZPYD	30	7445
93	CHZNH	20	8525
94	UDPNT	20	6969
95	KUJZE	30	4005
96	BQDTY	20	4998
97	YAUEN	10	2418
98	YWSHF	30	4356
99	CQRIV	10	1276
100	ZVRBL	30	6784
101	RHJGZ	10	9818
102	QBUJR	30	9596
103	HQGGW	20	2826
104	VIWGN	10	5069
105	BHMDN	10	7949
106	GSQXF	30	6503
107	UFBFV	30	4480
108	KJDHT	20	1438
109	ODBOH	10	2126
110	OOBXI	20	5697
111	PRNWG	30	4798
112	QADCB	30	6937
113	OWZEN	10	9531
114	DLMTQ	30	5511
115	IDAXE	10	7612
116	ZCWUR	10	2762
117	XJSGB	10	4765
118	EZMSL	10	6577
119	DPBLK	20	6905
120	RCQFU	30	7796
121	OPHHG	10	2899
122	XGBHL	20	5277
123	JJDKU	10	6438
124	WRJQT	30	8584
125	TBJGY	30	1520
126	BMJKF	30	8878
127	XJATI	10	3128
128	GLRXV	20	5507
129	UVUEV	30	9902
130	GGVRM	20	5356
131	ORQSZ	30	5609
132	LSRKV	20	9477
133	NWSUT	20	5566
134	CXLWJ	10	4749
135	OOADF	10	3266
136	LVQZY	10	5485
137	NJVUG	30	5518
138	QRINT	20	7954
139	LPIZB	30	1711
140	AEDJZ	30	7362
141	PFZLU	30	7591
142	UISBV	20	3709
143	TVVXT	10	6446
144	QFTYJ	30	9260
145	BGIMA	20	3513
146	SOHVX	20	8942
147	TWGCC	30	3069
148	IIKCG	10	3192
149	MTRFK	30	3316
150	PALOM	30	2485
151	RFIIZ	30	7655
152	QHDRY	30	6385
153	TDECC	30	2228
154	LLJGV	20	7977
155	KKGIZ	10	2139
156	RXSLR	10	9131
157	MLIBD	30	8632
158	FGNOG	30	9600
159	YORXC	20	7273
160	PKUGG	10	4115
161	ZRFXC	30	6329
162	XCOHV	10	4680
163	IETDL	20	9777
164	CSPAY	10	1954
165	RZBGL	10	7179
166	VAGXK	30	1810
167	DYEDY	20	3562
168	QDDRW	10	3119
169	FTAUH	20	5362
170	QJRIH	30	1679
171	TBPFV	20	6460
172	OLUDJ	10	1771
173	HNRZJ	10	1379
174	FACRD	10	5379
175	YZJKA	20	7586
176	EAGSF	10	8367
177	HDOWH	10	5252
178	CECID	20	7782
179	MFZKN	10	1439
180	JLFXQ	20	1026
181	CNTKX	10	9321
182	SKXAD	20	5906
183	PMUCV	20	5676
184	JIYFE	30	4126
185	MSEVH	10	2645
186	OFNCR	30	2399
187	UZRSP	10	6995
188	DMCSW	30	2642
189	PBFML	10	3587
190	SIFUM	10	4154
191	WIQFM	20	1307
192	FAMZK	10	3177
193	DFSOM	10	1487
194	CEOKR	10	6916
195	LBPJL	30	4184
196	VPULD	20	9272
197	NBICU	30	9100
198	IRRVK	10	3527
199	BXQZJ	30	4142
200	JZFEY	20	1391
201	VKMAM	10	8491
202	GBIAW	10	5251
203	ALPLV	10	4098
204	WJSYJ	10	6838
205	REFHX	20	3982
206	QJSWX	20	7511
207	CVJHN	30	4285
208	ATBBP	20	7008
209	KBMHK	30	4952
210	ZZOSU	20	8140
211	PNBCP	10	5134
212	JIZIU	20	9909
213	JJGLK	30	3538
214	MSNIQ	10	9148
215	TWFVU	30	5923
216	DAVUX	20	6736
217	CAYVU	10	3370
218	UWIIT	10	4345
219	UPFVY	30	6899
220	FHLLJ	20	7168
221	UBIHI	20	7411
222	JANVD	20	6176
223	WCUAF	20	2755
224	BAUUY	10	1555
225	OHXII	30	5132
226	RGDDV	10	1419
227	DVYGL	30	9963
228	TMISJ	10	2334
229	HXNKZ	10	7015
230	NALNJ	30	3374
231	NTKMK	30	4419
232	MTTSZ	10	6513
233	OYIGV	30	8359
234	HOLIZ	30	2506
235	GOURA	30	6015
236	VBHHG	10	6278
237	FQVID	20	5037
238	EXEMJ	10	9206
239	MQDLT	10	7588
240	MLXXV	30	4122
241	OTBEE	20	1257
242	KURVZ	20	9892
243	YHKWC	20	3750
244	WRXWJ	10	1396
245	VULWC	20	4569
246	ZTUBR	10	1776
247	CQKBG	10	1008
248	ZMFLN	10	7729
249	NHRDC	20	1184
250	EMLQY	30	8908
251	MSHVQ	30	4239
252	NLZNU	30	2002
253	WQRIX	10	3636
254	SYGAR	10	8910
255	JHFAL	20	3820
256	RSJJE	20	6676
257	XWXOK	20	4956
258	CSTUO	20	8563
259	GLHWJ	30	5299
260	MSGWG	10	4678
261	BTFKR	10	4966
262	BVURU	30	4053
263	HZKOZ	10	3884
264	JDBXP	20	1097
265	NISQG	30	9273
266	RKBNU	30	5952
267	AEXPL	10	5110
268	XBJUJ	10	4536
269	UPYIG	10	8924
270	AOUDW	30	2267
271	XMMHE	10	1266
272	UXPGQ	10	7201
273	SRPEY	10	2980
274	KPYHG	10	1226
275	LFSNJ	30	9339
276	MUXTN	10	9579
277	NOYDI	20	7394
278	PKRNE	10	1377
279	JBHJS	10	3448
280	ZAQUU	30	1319
281	OGXKV	10	5665
282	ERWFU	10	1507
283	WVUUS	10	3003
284	RJLNB	10	6179
285	JJPVN	10	3259
286	QEKQS	10	7801
287	JITVE	10	3250
288	XJSCW	10	9216
289	NNLOO	30	2260
290	GIHIB	20	1006
291	LNKWJ	20	6247
292	PISUM	20	8716
293	HRWYQ	10	5605
294	EPNUS	10	4535
295	FNBDC	20	5286
296	FNINR	20	9179
297	KLUBE	10	8942
298	HIFKX	20	1745
299	JIZRD	20	9154
300	MDFKY	30	6688
301	LWOKQ	10	7511
302	VUQMY	20	3339
303	ZUWBB	20	8740
304	XEMCL	10	1721
305	SWPJS	20	2491
306	ZCXEU	30	1610
307	ECMRN	20	9249
308	SMAOX	10	6232
309	JXBIP	20	9579
310	NDHAN	30	7603
311	ANGGU	20	9318
312	ZYUMP	10	7036
313	VKVGA	30	2947
314	FKUCU	30	2124
315	SWQNC	20	8987
316	ZQLMN	30	3343
317	YIGBB	10	2156
318	DINYS	10	5252
319	KMGGR	10	7314
320	LGAFF	30	4051
321	SQJYW	30	8967
322	VJAMF	10	6553
323	SQKRZ	30	6610
324	OWHRS	30	3149
325	SAAMX	20	5785
326	UDWNB	10	5417
327	QMXYM	30	2948
328	JQRVO	20	9635
329	JPVFX	10	5504
330	VTDRZ	30	7552
331	ZHJFY	20	7993
332	FTDPT	20	4329
333	CFTDA	20	6553
334	VBZVL	10	6016
335	BEVHW	20	5493
336	DWQJG	30	9453
337	VVSNY	20	8676
338	TLXMT	20	9711
339	QZCYH	20	8596
340	OFWTI	20	7572
341	REKSU	10	1278
342	CPDME	20	3915
343	FOPPQ	20	4479
344	RCAYE	20	6022
345	WHUOB	20	5617
346	PJALS	10	7209
347	CZEJA	30	4891
348	QVWBJ	10	1484
349	IRSCI	10	6723
350	IMPJX	30	8691
351	REUKO	20	2559
352	NHYHJ	10	8248
353	NCATK	20	7584
354	WVMKW	10	8736
355	NUWKE	30	6664
356	FYXCZ	30	7813
357	SIELF	30	1758
358	IVNQD	20	7173
359	CQWHW	30	4930
360	LPZVZ	20	2941
361	RWRAZ	10	5212
362	ADJEY	10	4522
363	KVOCR	20	4309
364	DJKBD	10	9239
365	LANTH	10	6239
366	RWJER	10	8576
367	MDSEZ	30	4177
368	BNGGJ	20	5907
369	YQJZJ	20	2322
370	SSHTA	10	7150
371	EKZUM	10	9896
372	YJKOM	20	1318
373	DOOOV	30	3743
374	LGUEG	10	3300
375	PJQPO	20	4926
376	GBGSL	10	4447
377	VEFEX	30	4023
378	PVIHB	10	6087
379	YWXML	10	8831
380	HZUGY	20	7843
381	KZEHQ	30	9155
382	OOWZV	10	9747
383	TTVXH	20	1981
384	LTDQS	20	7261
385	FUNTT	10	2213
386	LZMJE	10	8334
387	SEKNE	20	1012
388	DIVGL	10	3175
389	HJUAL	30	7128
390	KAJJQ	20	2369
391	BGQNR	30	8037
392	JDHTB	10	2045
393	GDOFT	20	3247
394	BEUVA	30	5955
395	AOWTZ	20	2067
396	YFEVB	20	1439
397	YKZTG	30	9445
398	HZKHN	30	6678
399	QIDIM	10	9045
400	YFTXR	30	9238
401	XNMQV	30	8761
402	EOTHE	10	1667
403	JQAIW	20	7160
404	HJCVH	10	9535
405	NJJER	20	8108
406	GYQXF	30	2458
407	UYDTL	30	6824
408	HFLQK	20	4381
409	CUEHY	20	7433
410	VNEJG	30	8850
411	UTEDE	30	3427
412	EIRSW	20	5835
413	EBSAI	30	4473
414	YBWUG	30	3839
415	VOLLP	10	7385
416	UXKIR	20	2453
417	LEXKV	10	3906
418	YWBOU	20	4921
419	ZUDYL	10	5516
420	RFCTX	10	6503
421	HAYRY	10	9466
422	YMCHX	30	9473
423	XDTFV	10	1904
424	IAZNH	20	2935
425	CTABL	20	8068
426	ERHNO	30	6966
427	JWKRM	10	1335
428	ECXWL	10	5501
429	TOOZE	30	5318
430	ALKWR	20	8743
431	KWNLH	20	7012
432	CVEYJ	10	4994
433	DXHBC	20	1373
434	DXWSI	20	5418
435	TNKXS	30	6082
436	AJQIW	10	7246
437	FLHLV	20	9775
438	KJSAY	20	7497
439	UNEMR	20	8776
440	LKCIV	20	3306
441	GNPXL	10	1948
442	BWRWY	10	6333
443	PZUPI	10	1786
444	JIGEZ	30	1182
445	TJUQJ	20	9072
446	JRZLC	10	3067
447	VNVNC	20	1743
448	OUKRL	30	5900
449	ACMSK	20	8609
450	ZVLKG	20	1155
451	PLUYW	30	6818
452	FESMM	10	9330
453	CESVR	20	1624
454	QEXNS	20	3215
455	HSGVI	10	5344
456	ZRYPC	30	8487
457	DRGGU	30	2367
458	KUAKI	30	6265
459	YMXWT	20	8485
460	UXECA	10	4476
461	RCDRJ	30	5983
462	EPBCC	20	8894
463	DYVUJ	20	9627
464	OTJXT	20	6331
465	JNWHU	10	1226
466	RUKGD	30	6111
467	ALAKO	20	3624
468	DXMOW	30	1181
469	FLZUK	10	4500
470	FVCFP	30	2502
471	XHNDI	30	5202
472	XFOSS	30	7492
473	PJNXL	10	1450
474	JZGSC	10	6181
475	KLTIK	30	9474
476	BTHVS	30	2824
477	TVBNO	20	1910
478	MGLUJ	30	5867
479	YDTZO	20	9154
480	EMZDS	20	5214
481	PXBUG	30	4223
482	YJCBK	10	8121
483	JRAVK	10	7596
484	TYWAY	10	1756
485	TLXZE	10	6768
486	YSBPE	30	4617
487	IOFPE	30	2064
488	LFKUF	20	2897
489	AJNUS	20	4204
490	YAUYJ	20	6862
491	DNCUP	20	8313
492	EUTMG	10	2209
493	UEOCI	30	9331
494	MEBMY	20	7983
495	PFREL	30	5149
496	DFIEP	10	3005
497	UVGVV	20	9677
498	WALZY	30	1901
499	OIUWP	30	3775
500	IKQHP	30	6120
501	EXJZX	10	6505
502	QKOZJ	30	2852
503	XQFND	20	2179
504	DJBPE	10	3086
505	SXUJC	30	8945
506	PMZOF	30	9455
507	IUIHM	20	9021
508	PBHCS	30	5294
509	EOFKC	20	5900
510	MVMUP	10	8132
511	DMNBV	20	7990
512	VSWLQ	20	2711
513	KWZWN	20	7833
514	KGJBK	10	1398
515	PEMEL	10	1828
516	KHBVD	20	8416
517	SFSDI	30	6580
518	JXATB	10	8258
519	RQONO	20	4996
520	ISQQH	20	1097
521	VNIYV	20	4927
522	EICEJ	20	7898
523	WSQYB	10	8183
524	WLNHA	10	3727
525	QVQOI	10	2767
526	UBXAT	20	5422
527	XINFH	30	9182
528	HEIIZ	10	4004
529	PMRGR	10	9009
530	UAAYS	10	6369
531	GBPHQ	10	9099
532	GIOWL	30	9852
533	QSWVQ	20	3904
534	XRPTC	20	6935
535	MHDVY	30	7566
536	BVFJT	30	9875
537	KMMFQ	20	2652
538	LEGTM	20	1916
539	IHMKB	20	2960
540	TUJOR	30	8555
541	GWKCX	10	3561
542	WFCXL	20	2873
543	WPQQM	10	6919
544	JNFUY	30	3420
545	YTYOI	10	4458
546	BDTIH	30	8416
547	TWCQC	10	7127
548	ENDYU	20	3219
549	PTNEY	10	4529
550	XCGJA	30	9399
551	UDJAT	20	2001
552	GLDZA	20	2700
553	BWJEH	30	1445
554	IIIJP	20	6105
555	QAYMP	10	3315
556	VQBCZ	30	5315
557	XHASI	20	4207
558	BIPWD	10	7856
559	UQADN	30	9531
560	GNMBA	10	4437
561	LAVGP	30	2498
562	YZYTU	30	4495
563	XKEQX	30	3464
564	WLWEH	20	6708
565	NWESM	30	7653
566	LMMPF	30	7740
567	QMKXP	30	8655
568	TGFQX	30	1185
569	DGBUA	20	4543
570	PYUFQ	20	8163
571	OCAZU	20	1031
572	HOFBR	10	4908
573	ZXURC	10	5031
574	TYZNL	10	9166
575	WKBHF	10	2186
576	HHVIC	10	8079
577	IOHFD	10	2278
578	EBCHL	20	3073
579	FPRXC	10	9625
580	BICBM	10	5688
581	AUGMK	30	1322
582	GFZNT	20	6514
583	IAQIK	30	8474
584	GJIXR	30	9276
585	RBZQD	20	6928
586	FFWAR	30	3734
587	FRDLJ	30	6168
588	MPPEF	30	9608
589	CZAMX	10	4806
590	TQFGT	10	7047
591	KUCIP	10	5903
592	HDLRX	20	7410
593	ZUTFX	30	3388
594	VJEGN	20	1530
595	EGMRM	10	3738
596	GDYSU	20	8077
597	TBFQO	30	9757
598	FTDJH	30	7654
599	FMIKZ	30	3515
600	KIKYD	10	8619
601	EMIYS	20	6862
602	VDORK	30	9543
603	UXNUT	20	6631
604	PQBOE	20	2821
605	KWOXA	10	3803
606	HTWWU	10	5991
607	OGEQW	10	2475
608	XHMTP	30	9517
609	JELGF	20	2081
610	LXCWI	20	9462
611	HRBMW	10	6158
612	ECFSD	20	5260
613	LGNDT	20	5884
614	HGGNG	30	3625
615	MMYZN	30	2388
616	NABYI	30	4926
617	QOZTR	30	1814
618	IFDPY	20	4423
619	FLJCM	20	5436
620	FVVCG	10	8539
621	ZCWMI	10	4522
622	DPMWX	20	9570
623	WZPZV	20	9487
624	SIKYU	20	8280
625	VXOCD	30	5603
626	XZGWL	10	5408
627	DBOZF	30	1013
628	KVEVV	30	2379
629	AWTRH	20	3212
630	AHAII	10	7385
631	RZIQQ	30	6094
632	ZJKSR	20	3997
633	UXORN	10	4398
634	LIUIW	30	4859
635	ECNLU	20	8842
636	CWNCC	10	5121
637	RZBWU	10	4904
638	NWFAF	20	1777
639	PNGDK	20	9141
640	DFHPI	10	8834
641	GAQER	20	3775
642	QCKRJ	10	1211
643	AQWBW	10	6122
644	MYXST	20	5762
645	DDWZD	10	7227
646	FCQZJ	20	7632
647	CQLHG	10	4882
648	JZPTJ	20	9718
649	FVPJC	20	3530
650	XECDT	30	2814
651	XMWNE	20	4481
652	QZLYZ	30	5079
653	KNSSB	30	2340
654	WTJDG	20	9210
655	NIRHY	30	2374
656	IRSYV	10	3187
657	ALHVJ	20	1299
658	PIYQV	20	1451
659	IGIJI	10	7333
660	NTMRG	20	9017
661	XUQSQ	30	7046
662	PNGXK	20	4441
663	YESNS	30	1258
664	ZUXIZ	20	9547
665	MVMVD	30	8609
666	ZVXCZ	10	5812
667	UFTSG	30	6524
668	HOFWJ	20	6652
669	NYIQF	10	9603
670	VEMCM	20	3527
671	DNXTN	30	3676
672	TYKHG	20	1610
